RefDes,MPN,Manufacturer,Qty,Description,Alternate,Supplier,Quote,Link
J8,770520-1,TE,3,"Terminal, 18-16AWG, tin",,DigiKey,0.14 USD,https://octopart.com/opatz8j6/a1?t=TLHmSEdqe__6to-Mh2CZ1EcqnyUiw2FwDq5BxPzBu3hl9eRoceT-ic5EUkkeFcjabAqEPfooNvzXDqZwMyxkX8VqVM-tGSBEvkNhVNuqfuppbf68yUAJv-1fJwzKakpn6OY0mtA4BZh34_gcFEx4wTL5YC6UB6Q24NkYevKdK-lYuXqSuTRTGSf0p3JGQiuJiq3Q2Qq53S6EtKF5BzPACq5ZxlHcuHtpMSqopZUHExXcF5JdxEXIQDw_SCo-6yVwiUP1gBE
T26,171864-0000,TE Connectivity,5,"Terminal, 22-18AWG, tin",,,,
J2,123456,Brady,5,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=SrxtaV_whiNBBpqvEdYC7IZR0yX4Drjg6OVxecM0mjwO-UJU4-5lMb0BJmy70ZcPVEA12O8p8yLKsQEcSehjkZBIoeu1EEhV2JlyeGC3eGbpMYymcu0lJCrd66Nms38ZIL2dWfYw6iq6YYa2BNCBhTRBw8IYr6aPvnA6XkjlZBiVbK1KtD3qzSbeGNcOs9X3Er0A-ySb0vDEbcziW5aacoEJk0fJ4bF1BNB7LYLurvmpJqlw9PNutmBk15UxlqrRlFpqXmM
W32,,,2,Unspecified wire (TBD),,,,
HS48,39-01-2025,Molex,5,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10312 USD,https://octopart.com/opatz8j6/a1?t=Kl_MR3th2M2dtTt4-bpWEjUPy-iv7QSSf_SKy6GEDTrC9TtP-7fk04Iu7G1ncTTZx8DA0sW5489OL_wWuuVYRw1EwGkoHuD5yyCOxL6wnhL90b1VTOSVpUcYK-afOiESAMfs4vUfH4ktHe5qXWCpsAnnXiKIHHJbDszSlFef8L-KpthXIFilhqyOZq7bUdaxPsYjz9LNVGXjomePBdyIQHLOxRqoGz3B3eDIpKmFZGMZDJSq0ZVWwRan0qWLjEwdvrI
LBL75,123456,Brady,1,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=nm3bZ0mb9NLiJy9Djgdjd19cAzgjZCuJ3rYxiJoZ1s3AWqwwrw18DgTq_dj-9n6jJTEalfJHgiL5paTKcMRn4ML4X8D3r9HZsVr1m5xCKi4xJlOCNs5rp7b2d-YeSt_rhEAy9H7MPKXcWnPYPVgcaFKO5eqjDD5TCLzxWJFt1uJWNBR9ekJpt5-Ld675TINrt8qkM6mGqVbTrf0YSnxCkLQnc76q5rRqsD1juN6NX-XT4pZukSAgFhhtWpy2SmbSlh5iEe0
J56,39-01-2025,Molex,5,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10312 USD,https://octopart.com/opatz8j6/a1?t=Q6qyK1G0Kb3CZmEOpNekIaZB5cruDm802T-wBteHnSUJBomIBOMV7u9q7ER6WZ3GaZQdtk-KtjMyR-3gda1XytKYX-AY3tESHJeXkOl_7LlViaXU-MTKCBKcKqOZUIRfaPsWk2sLsDe-2DqqUOFSiVqqg2XQt7ICy_hGrigHyXVjulaZO2xM53j2UnRpCUGl9fIIjD9A2bhgyYJdCPFpLvOajM0E7_NECVssrR8vJBoXhR4yuTt0dXwfb7iXwRTVwpc
HS96,39-01-2025,Molex,3,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10497 USD,https://octopart.com/opatz8j6/a1?t=2nCdJ4ccw5xJJTIVkQ7vjE3xCn__nhh4n9wvaIenRQKiU4qNJG1wqKAJXqWrKTirf6sSbWVXeRSzgm8yDzfjQK5LsXbP2Kbws-f5ORisEjqOWV9MQCFo7kPGqVN5jUyonzGec3IdUSMW9cNokjJUVu8dU_0QlrKg4WdxssHi_PGvMlKQ3ijONAmT0y_bTW7c7YKpVEmtYu56wzuXKUORGIRvaENWqz0ZAT2lR8dZQ2UBi99KeArEvpJRB_-rppaqq-E
LBL37,,,1,Unspecified wire (TBD),,,,
HS27,123456,Brady,1,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=j9KQAThLYw6tc-EEvnK3b4ZsOtavUPp5SErqmf4axzfVrof1qi2MEiabREcHpQp8r73pnif5KeH6YLLlv1S7c8vlrN1xkSORBAKjPUbSz_sekU07Kh7qX5SfFYFLaXiaI-deCEiSgD_vj5yG87S9vEMKi6KbqAlk7zISzMg1sulS9E-kPAMcjP_W9kGGcWvEN4fUygE6NwUAzDls_dJKWwpbg9tnkxCs6AgU-5iFNOiqP3_DClYxn_2nPSP2Sc_JRqDokrs
W31,A-2186-2,Brady,5,"Label, 1"" x 0.5"" poly",,,,
T84,CUST-WIRE-14AWG-BLK,Customer-Supplied,4,"14 AWG wire, black, stranded",,,,
LBL97,,,2,Unspecified wire (TBD),,,,
W28,123456,Brady,2,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=N8oz1QpMVyY6JD08JDSl-Vo1tkd3QiGXcJd6HvTSdqYq2lrblNSEMjfjtw5M4HhVJSOM3zq1DSLTSMaVlsTRDVV_Xipovszq78Tp8LZ8uZ88la1HzzHyzvEsGZ9M8PIVeD5qn7M-VJoLGHc6zXKvSXGJW7gwFoBOOhAMRPnXz6FUhTsNrnslDPwXFoiysmTGVOTysTMRPqg_J6-2PkLdXHi-LiltSQBl3luzhkPBZ5sWR7oQBMMneA3MJjNQfWMY_WOZ60Q
J12,CUST-WIRE-14AWG-RED,Customer-Supplied,5,"14 AWG wire, red, stranded",,,,
HS5,39-01-2025,Molex,3,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10497 USD,https://octopart.com/opatz8j6/a1?t=tNyW3n5bVg6p5WJIb8aTkepICYFMTUv2D9dhnOnFKNBIUc8UXZfZcKBzc9-WoJDh36o1tgp4oLhDZ5kCMzKRJwxTLJroLnYuyu-D8JrpeVDRg_CBtNdch2b4NNuDMwmn9LJGevFyHgtukQgyigsxW3fZWqPXmiNaDMZJu882WgLv0uAT581nHv3T_gHz_vMsW5dqaS9C75EewSFAo0PUrdipR-Z9Zr4dF1kzGz94jEDLrf1UNmGD92eQ5s6x54ge5-s
J10,CUST-WIRE-14AWG-RED,Customer-Supplied,5,"14 AWG wire, red, stranded",,,,
LBL23,,,1,Unspecified wire (TBD),,,,
HS28,123456,Brady,3,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=yiZ96kjGUSO0SfJyuEaqBU0fPzwOyudqhvZvLRVG6DN0DunVXXyTKHIOdf-jTfAHU2lz8MfuoZZhCTuBwoUaa2uRLUyVSZyKpjxNrJqBOu-LdpYFkyuNji18RwfkykYCqc1NocVP_MBmjm1nb1Is9dcdvq8smhrHxxBL_UF4oQXq6nVR1lmnjxWnwybRazCeouqezeH8oULIHVm7cpCN7V2Emk9kinFpMyqiy5omtHUzoCiZjr_k9IIdR3z7H2WTszdSQpE
LBL32,123456,Brady,2,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=74F0oLAZdx3ppFlluC8oM1buP7Q_B95Ple7jqqNIIGpCJYOepZ3-MLa3kzMlk0SFNLh2Q-3KnsHoXnEcsOh7FP9H7lMMiFInKz9WJcsfdsv7DsK3ZsFk0ufy9q7_cW43uXLWsnBKLYjE8Mx9fLENDS8CHZ971mGHUStmLMGgPaP_ewm0TCtxJINWNsb58xm-XlLb81urxjBtbOJVBg8a4zFZ7xv3mkFQLHdzWevzq8nwMNykBlPV7Nfhi_Zbg_QYBJcHjFII
LBL69,A-2186-2,Brady,2,"Label, 1"" x 0.5"" poly",,,,
W64,RNF-100-3/16-BK-SP-SM,TE Connectivity / Raychem,5,"Heat shrink tubing, 3/16"" black",RNF-100-3/16-BK-SP,DigiKey,1.05853 USD,https://octopart.com/opatz8j6/a1?t=CkMNwdsanOn1KZDpJ7WjbLV71LBl_7p_rpLwgwmvCeIaMPd10Vkh5Aqq95uk01onVMDX2iWA7quPXIoUwFGpygJCZpzroU184xrzg-XXfXUb-9ZQW07nT7Nir89P6I6i48mwurUbIJXDr7bkJ5OSsg_BgnMxO8xojhA-LqlugHNIYG_F0C3MAbkTBVQiDpHmAjOzx3wwWCDc7VIQ9eG8aflXNrBtrH6C7WBzbKuIQ4Y-HHbCeY0gM2xugwahkYPHNB8pazE
W36,123456,Brady,4,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=7sLHS3J2Azs23vcxz2JLApZ6--jRzaoxaG2tTOzhqJe0MmFARmhtiDRjfbBqhiP_zBVJtjNF16Oz5I7Xu9TvRZ6HujKu2ImNeLNWtZ-AWUnd0EO6vlVYtNPJ1-6T9DaXSm-55SGyfQw5B0cCZyosARKOxWIl02V7lN7E3Bk-kM3ow02NFT2PpamsIZIppusUztR_wKFx5HVBd3nL4Uh_MqPTpuJftYxhxlfUm1KWPCqkiJR5D_q-5WvH2TPaHDdzMv-AfJ4
LBL5,39-01-2040,Molex,2,"Connector Housing, 2 pos",39012040,Avnet,0.12474 USD,https://octopart.com/opatz8j6/a1?t=-48TkSHGpoXalmqsdkUR3k5BV6YdKYyfJSrRnxxdVU9tryLsStYESkFNLVjEqtjWOz9RG6np9gpNZq05xaRX6_CuL9ehIuIhCX_b5lmv9JL2qlvfx3j0z5mjPIwriQ-Bwr2WfMrTxcEd1qS09iZvuXhYzn0o_eQEOZw5tYg1KaKjWJ-_6s63Jc5sGH3p0fez0P4C9jL9vrW5OfoWuYS6uBmHe8wal3u-l_LBHc-Tr_KcLKah0zg9Hzrc62w68eXdxg
J80,171864-0000,TE Connectivity,5,"Terminal, 22-18AWG, tin",,,,
HS32,171864-0000,TE Connectivity,4,"Terminal, 22-18AWG, tin",,,,
HS62,,,4,Unspecified wire (TBD),,,,
HS44,39-01-2025,Molex,5,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10312 USD,https://octopart.com/opatz8j6/a1?t=9bZJpsaxRX1bG8UBBVO0YJVg3sgphmSPyaxj54gvF6njJ7tv06q2lO1LNnBRkHrSIimo52COjGAhj7aamkHo6000HciLWFFNpJQl9CD9qMyfpGb25joBW2K5GzrXFYyxbuGMVNj8ZKQJnjmad6tGftRvySJS47NyzwS-HhK5TmJRoKep4dIiNXK36zA8SNTgblTJEFEuXTmjrqvCJ2VRBBS-V1KMKyj9sxDXs5DbZ3IU_zYJh8lMvFHt3AeYSa-yt1Y
J33,A-2186-2,Brady,5,"Label, 1"" x 0.5"" poly",,,,
HS34,123456,Brady,1,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=M3WsK9L1QhmkVCuFUb44UsRF6Ojii2OKS0lfSNZ4kpylg5kMIyvj1KRgGyr4eFhsOsUb0d11kkaBFJaFOuSst6L66V14kYviiy9pbAts_RmPZCeAZwbUbVAWI6eDBw6x0uxfwMt-hBpjkJRU7jqbGtIkxqypSeWpi8K1cAqSSJPCw805egYmSAXKtIc4akkYTBt7JMXgVrQDXpsUB6iFmE5XvDzhirVkxs9HXs4ml02w8hZwsE-udkvkcSIz4vKlonAGXNk
LBL45,39-01-2025,Molex,2,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.1082 USD,https://octopart.com/opatz8j6/a1?t=mErizpduu2gz5J4Bmt46uWmdrn4iHVCZck76Ms9Plzvgbm7dI4wz-uH21kxA5F85tDktoC6usoRA4JThzpRnNjwqxuDCCIQ-EwBevncnjATHw3qxioeWRch-Kzf92d4zYRjhkCPCCaJ12DJimit0cepBbo_vPkELnqWpiC_2jsU-sT8Ry1kyjIpHCr26WIrJAQ1sWnn4Rhq5H6iM-VfEVE3pWnBiQppQhXuhEkp-9e9CanAppVAv97x6WrM0oYQgJQg
J39,A-2186-2,Brady,3,"Label, 1"" x 0.5"" poly",,,,
HS39,770520-1,TE,3,"Terminal, 18-16AWG, tin",,DigiKey,0.14 USD,https://octopart.com/opatz8j6/a1?t=Z6rS84kLu-g2vUrBbS04BMDjCuDMUIw8UAINKGmpXVcKzJYrZzbHRzgWiq_ojIWLFeQX4YY99X4ge_lOzpxcQtZbQsPfPlAt4s0m-2-xf2177Z8_rcQTMfPWlQVhK8Ti3JDsYQB9Z3grB-Zw7osGY_M5T4xNNiKFIag1NW_EP-1NRuhd961y4mVJAffqjX-EdR4TUot5x159dgdTlp6XrBo3uHq7v29pNRNqIhyuhQ3zcTwADo3YA_TyUMfL1no6rj8MTKs
T56,CUST-WIRE-14AWG-RED,Customer-Supplied,1,"14 AWG wire, red, stranded",,,,
T73,123456,Brady,1,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=Bbj11r27ujq066DF-pev2hmcboz7oZE8N5ZOOk25oFgx-rrxx7bvKZZ0uyOCHAKbo3ClIG4LTElc0e3Vdp25JaAjOwA8n8y1rgQyREOq-znl6CaxEjsGuttYcsZdqbklr5kuzOjeMkgEGdkgBoQmBaAqPyDbQ8nqFJFCseq3Jv6LtPs-5aDxaWFd45hhs6KsJ5mkNsE5hhul7GcyrOP64EkQe_a5FCzchIh1uH228Ugk58o76U-dOqskLwqiY22a8TCLwbc
J78,CUST-WIRE-14AWG-RED,Customer-Supplied,3,"14 AWG wire, red, stranded",,,,
W44,CUST-WIRE-14AWG-BLK,Customer-Supplied,3,"14 AWG wire, black, stranded",,,,
J38,171864-0000,TE Connectivity,1,"Terminal, 22-18AWG, tin",,,,
LBL63,123456,Brady,2,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=nt2ITf0EPrhh9BwnQ02qTjyalzodto8Xts7T3VPhKsWr6OwfVcW9BRkw6ZiMmflSDNO3WH3_Jts77wmMnz6B1Ykqp5iDFty1rykKIU66v15kQ1TYH7OfJYSwXSwqqRetzxgvFkmn8WWhwhMcAEeM2eJLwjHY4gOt-p7SiecszEX7WBASn7_1ERmLe9kqjxNI6mPapjTv0oXjZnep1dusd7M2UANBTD9TvY4TEh2niav4OqExRMICmMn3h9bK0wdthNyX4bg
J48,39-01-2025,Molex,1,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.1082 USD,https://octopart.com/opatz8j6/a1?t=hjLrDjs2xH4SlZyDS2qCb3sQdmGkeR-Y4cAvKRarHK-N2wBTX5h-in9xUWNFG-keQTWIxxzaOeCaZFBFKl7rchmIbEEr_eEEGX8PPlAFh8XDeg7tcAowCDBYXdFWhFeSm7y7vcyBaoVT7ncCtQLNiSTBYlf9G2L9xToMCiWO9h1E04aYA1ZHgjb1PT_qlXwq0XvFqmOdKH3tlkACqkSlfb5q77jI_zN0NSeLdLmUhIadQtbKNUxzt4Tb_qU3FjkXTe0
T36,39-01-2040,Molex,3,"Connector Housing, 2 pos",39012040,Avnet,0.11501 USD,https://octopart.com/opatz8j6/a1?t=nKtfx5mK9WJBvVYTdb57vnfEtjaICRaRQ602jK8HiZSk-fSKsN1rpoSx_fQ5e2u-1qsJgj8tE2nmFquFfbjnF_r8sJMoOrPjaNR7iI7Vm9unnXSD0jLs-S7CSpXYzHqcwlXd9FsF--PVcobFOwYXakUhlZPb8GZC9EsZCCaSyLkZ_qsCjoNUDS2hMTl28u4o3yN8IYs6qlHlDi9RSRxTrr7iTGTNvZpwJpvyFK4udQOHwYUQXrrbNvBCKaY9QxIGCg
J23,CUST-WIRE-14AWG-RED,Customer-Supplied,3,"14 AWG wire, red, stranded",,,,
J8,39-01-2040,Molex,2,"Connector Housing, 2 pos",39012040,Avnet,0.12474 USD,https://octopart.com/opatz8j6/a1?t=YU3j5pERyJ3YTEX7JhWZAT-My4POhA0PjrEb1kn152D64pjrOvd1yuRuArh4NzF9JlUPqN_22RgzLdHOsSZBGy84ezCYSi5CXYdlCO5kehjMz1J1faBgi5MvgUfzXe8SKl89LFt2qoCXnAOQIGnHuT478Pl4P4xww0JikEf5Xk3Xh_fjXFaDwagt5mbRbT1qb7mNsJDDEENqllNvBmBGXDp9t0v7Yp_nM9Mq0-fEtZ7O7rCNSscn5wZ5AQFg-JVLKw
T26,CUST-WIRE-14AWG-RED,Customer-Supplied,1,"14 AWG wire, red, stranded",,,,
T49,,,5,Unspecified wire (TBD),,,,
W21,CUST-WIRE-14AWG-RED,Customer-Supplied,2,"14 AWG wire, red, stranded",,,,
W78,CUST-WIRE-14AWG-RED,Customer-Supplied,4,"14 AWG wire, red, stranded",,,,
LBL98,770520-1,TE Connectivity,5,"Terminal, 18-16AWG, tin",770520-1,DigiKey,0.0986 USD,https://octopart.com/opatz8j6/a1?t=Sl26q00dlL00w-dmme5rPrhmtZ8MG0D43uzkPqNlu7AhC4QkMe4jduet2K58TnV1x0UwlNKwTvF4lkr5_a2OX8GZ22wXjBYwGNtQtl4eU19HMbwMEdWkhBdCIRvz6COdxwlAwnnrTB1r3kXPcBp2Ljm4ifl-sWwtoFQY76ksI80J5jOWNY3bigju2o-VRI6zc17DTNfrdMuK0k93J0jNlrncO3EHanU_Et6Nw__JmS3WwehTqfl2-kdyYFG704rkxBigf34
T95,123456,Brady,1,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=WyWDybRcP84PG1VQANI0Zn8iFXkVowwrMkY5hI0v266qGSlRm87AeYGNGCHzD2bPBWoaOiI0ibmikVk62WajlhqEcDzuZpKcsk0mBHhcucJc-U5XvPmMXHF7V3Cvx6fAF7rqiShzIgHS1KI_pWLswLc6Q1i6txWiwvi0KQZMAKnKC3FtqEhGgEE3wVTWboh5yOXXDZpskE3D0gHy89QQvdA1_WpVwaMa9-3TtujENlIFBy5mhnqC3KPK7jIRlI335bVKrQo
T42,RNF-100-3/16-BK-SP-SM,TE Connectivity / Raychem,1,"Heat shrink tubing, 3/16"" black",RNF-100-3/16-BK-SP,DigiKey,1.05853 USD,https://octopart.com/opatz8j6/a1?t=uICzV1C0Y2YdgmlbxtfphO88VkOR24g8fHIe3j0H0uxTJzxph39Dko2qd_Oyuui9s_bL_LStouxacBLm5PqMHvF_3-IRRpPGfK9VDETkfMcyHW50JSpbVXvpz0LfBCkunhBPnXBP0MWfPbF52PZ_shnC5BcC2i7iwbQZ6suo4hURGv1HH4aVjlkYNT_cApWA3wR96fO49sXRusmXTV-T3KhkIQbTfg5jyfLJHWFPVmnpxdjteexSn0iXWlZx-3IzPARK-GM
T21,39-01-2040,Molex,2,"Connector Housing, 2 pos",39012040,Avnet,0.12474 USD,https://octopart.com/opatz8j6/a1?t=TsFPogdWVsPzSxrrl0J41FzJ_XOQZbyPrG2w0BG0D57i9s20aA_J-Q5BTuhF9LEMIpB0fOUyUlmROyFS_Hf1kNJigHF0E8jAolG-AENdZea_ezPPdIsCr8jePPU9H0imt18B6PpVc2IUjQqo_LgYRjTTKKENg7EegXpE7PHOZ-7quC_41N_70sPJxkPNNIyioOR-KwJgCPUrPaoVkCsdatzq1ktAJYpDse6ahxmVzQAvpoShmqY5PCDJYRieTi0tiA
LBL86,39-01-2025,Molex,4,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10497 USD,https://octopart.com/opatz8j6/a1?t=RzFFOqC9_5xlVM2pHniuHuQ5QtgEbzSdC2d5PoirQq5JoJyD9bEP7Hc7LCfWogcr5CYCMJuFCXZ4CyWxCRjun_9bSgR9GVHiNKXf6Z7k2bCAevOtpO0GJR5US-5MfCj25GXT-ZGwXLRPQVjI9svL4DhSC7DB6msSCn0LbDwrI6S6FIsS8Waqyweqhx9DMb-onIUTVzV4MGjsfCJF80RUoN7ZPyEPUkYRuj1eHVpV-93YISuUc7qXUoyrVUFaW0h6xrE
T23,CUST-WIRE-14AWG-RED,Customer-Supplied,3,"14 AWG wire, red, stranded",,,,
LBL47,770520-1,TE Connectivity,1,"Terminal, 18-16AWG, tin",770520-1,DigiKey,0.14 USD,https://octopart.com/opatz8j6/a1?t=yjZcDfZnqa5rRwv4pqrjisIrc5-kme4XTiUZEPmt_-nFCzM1IQ9FBNjLrMIb1_7H2cdSIFaCy2O_7kYBuu8fVLXSZAWMG0dvN6n4IiA3PP2irUH4tjgYj0o-20OvakRAeC7renApdXyXe889RESINIYJAgYiCgJDxdLtw3vVz9rOQFH1dffGuCtNY2kpGOv8CuQjxm-CvxDtfFLhN8CUpGrlXS8WYCzW40S0QGtlgLIUYDLNV5onFdPNcP6rYS7jbuV1mHA
T78,CUST-WIRE-14AWG-RED,Customer-Supplied,3,"14 AWG wire, red, stranded",,,,
HS49,,,1,Unspecified wire (TBD),,,,
W27,CUST-WIRE-14AWG-RED,Customer-Supplied,2,"14 AWG wire, red, stranded",,,,
T41,171864-0000,TE Connectivity,1,"Terminal, 22-18AWG, tin",,,,
LBL76,CUST-WIRE-14AWG-BLK,Customer-Supplied,5,"14 AWG wire, black, stranded",,,,
J93,39-01-2025,Molex,3,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10497 USD,https://octopart.com/opatz8j6/a1?t=qTnx5kmKYaYVWjB_qewWEm4R87bl-KqQ4nEwxnxpQZvv6uuegyRZHerfDNdClEIYi6i1gUgXMtQdr0CCitdcurPHlrME23C2TQaggVfegEUtXXjTt2q8FOQ1H18c7sU2J7Qb6Z-QMXMJytksxRPAfFf-xAE7irzAHFoG96iAZ0hR_5UfGLfuKIIsdAk-l4SFh-8g0u-qyHK2-zMFsKvY_FqYjGzjTU-McQPUUfhhkZBZ2m0FmZuJe0bN5uMk3K9HaWuA
T20,RNF-100-3/16-BK-SP-SM,TE Connectivity / Raychem,1,"Heat shrink tubing, 3/16"" black",RNF-100-3/16-BK-SP,DigiKey,1.05853 USD,https://octopart.com/opatz8j6/a1?t=42YRLEc78DQQnR-qkHgSl3-rDrh4YZuwD8XzeuwXbyn5DYtPAttBVW2Xzr5bJ7mmDmXwe0Zxm2sYtAkG6ct3J4YWaPTBNhVjIrFrqzqVvmrnmP-Xj6ojHOa3JHJyJ-HE0tYCwXG0Ifzp-tcz6yp4oiSEb_8u_bf_XWKoscSpDQZP1XdKFmeehBpnMlI3iemWzqnnxVLmQYAvvDLhqUUh5uB4G8iS1nmE7Mknh5T4T68m5Wo7GTgpFh42xSF_KYeTJQ7qTLU
J53,171864-0000,TE Connectivity,1,"Terminal, 22-18AWG, tin",,,,
T46,,,1,Unspecified wire (TBD),,,,
J61,171864-0000,TE Connectivity,1,"Terminal, 22-18AWG, tin",,,,
T23,39-01-2025,Molex,5,"Shell, 2 pos, no contacts",5557-02R,Avnet,0.10312 USD,https://octopart.com/opatz8j6/a1?t=bEvZX73kU5seqrptLAweVgioOdQ78eW0xYH7y_EXl8Xmt4CsWzkkrW1QnplPlvuGtw3QECgz2_Uw-rl3cDlxrHbXd7-GZzYu26mFLzCHwOlfv-otVfXS09ySzNcMJ58Cc5scXZLlwD5I_2TaQ7C9V_4mipObCiY9tKLEa2ki1h726Epbz4Wgbk2gyfGmUtlD3YgLBISIUWs_8_ZBJAFNCnsfmg8sRNsIHUYg6VLpqYn9f_3XYluHxf8QmTUNe8irtzE
W76,,,2,Unspecified wire (TBD),,,,
W44,A-2186-2,Brady,1,"Label, 1"" x 0.5"" poly",,,,
J18,CUST-WIRE-14AWG-RED,Customer-Supplied,3,"14 AWG wire, red, stranded",,,,
J70,CUST-WIRE-14AWG-BLK,Customer-Supplied,1,"14 AWG wire, black, stranded",,,,
W44,,,1,Unspecified wire (TBD),,,,
W41,171864-0000,TE Connectivity,1,"Terminal, 22-18AWG, tin",,,,
T2,123456,Brady,4,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=pDV5tD7bGh-Pw0n0jJghavGVp5qWCUYp21hfnFgcKP0ajrqKTa3AcNxLHNzd-OleD_7paLXoVfe8_l1NDaPnhQFmoC2FrG3agRi_c8Tp_gnkpF8Z8KgWbfV7B3p-fQ4uJgE52av6dZd6Nzg85gOPm6H5n4Wmnoi-Gqvqc8EXkXNOp6gmKlKvzBRb_POos3ML_JFMEEaDMbP8PAOAJmocrmCZxefhIu2ESE2ZmOBcwwFDZa3NAoncIK43c8SeI3DxSokSeEA
W30,,,3,Unspecified wire (TBD),,,,
J15,RNF-100-3/16-BK-SP-SM,TE Connectivity / Raychem,3,"Heat shrink tubing, 3/16"" black",RNF-100-3/16-BK-SP,DigiKey,1.05853 USD,https://octopart.com/opatz8j6/a1?t=BFCl2fTMuuhgJiEPNOwsmbQLmCT_-JRbIOI4FYhCPT1jlavzkEIswGDrDGFcAE-EtF-kz8_8QfN9lwfLUJXuEUzYQsLIRHta6nsw7jjsDa6q0lJPYDCY9x4K57uN58hMgRvjH8rxCbrAEfVgy8XInD0xGM9ti9sBRUuu2EIqMFLafxTrG2aajI41LD9Rp2fSYbaz8v7IogTiplmDgTXYrH0vzuIVJAZO0Tvg_H4973fBG6Tz9ftAyh-CE2tMzT-bnhY3CdC
HS66,123456,Brady,5,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=uE2VUQczXCrWEvV89CHchNB_6w2_I14XCW6uyUFBi3IjM9nr9iD3ulEPZ5f96Jdv7lEck2K6lbgnwkxN0PEtOLhcgr9kpVGHkmLao7WzN-kZ4GpfHR0SZPqRvQBgfuQ62etc8E8A2DCkdKWs1T_XW_YOKaiomUuO6f24w11EiCTbXoQGhSV6TJNaXPbueibjaEYtlQRpi244LtfYNDTptcBMcyI9lmsrQEMcTaD3FTedVZWhSytlvExGIKg35hWbgKX3I5U
LBL78,171864-0000,TE Connectivity,3,"Terminal, 22-18AWG, tin",,,,
J95,123456,Brady,1,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=iHK635vfMM2hFwE8VDih5idUZuCXcjzFJPkQYaeGOoO0VdabOKZ8treag3__1ZkvqA2TCDdPfrxEpdnwMpFwxWr-GQ_0UHsqQ3wQvyVJ_xdbKzaZu707GNH0jwrGm9L_p7cY30vv_9GBsK6t8fdwMDp1wyXl5VB4pqlmSdNL7CSoWPovsYfXkHtc7jrQLNgGQO3fTBJ0SYgJhB16z0CnnvMvaSO3NA9x2ejSAbdyGKYtc8DvBv7WhFV8sJtD4tK0wFlyxmg
T70,RNF-100-3/16-BK-SP-SM,TE Connectivity / Raychem,4,"Heat shrink tubing, 3/16"" black",RNF-100-3/16-BK-SP,DigiKey,1.05853 USD,https://octopart.com/opatz8j6/a1?t=GNIWyxS1GHzdIg4URZgRn1KLYfgZG7VowSWOUgOAXwWB1Ut4DRr2-dIG_jO8s3Qj7zJ9Ezt9mgOHaAYTgMa3nn4MrnIcXQPBKoon3yMlEXwvmLtWYcd33woLyEQdhppmZFrJ0JafODHrO3SEb7obm1Ds3iPd4UnvTTjocjYSXLkiKj7N9j_ZzJbxY0aEtsu9SHGMoHx27NSCImkKxMt4NcFcHg0c6bV70q4JQD6Enjs9LMRqdPTvYoTyjsBF6_TnyFXDXgw
LBL88,123456,Brady,1,Placeholder PN,,DigiKey,16.99 USD,https://octopart.com/opatz8j6/a1?t=ihVG9Moy3apRf1a-B2S72EVXtuHbXjQgjNDLFd56h5fH7nK4cOXvbphb6ruEOp_mGtFtD_PVj4hv6ubmw6Z-XZAAgith3Lbf5Vg9lSZjyhR4yqJSsp8phoPwW3tzjRHkqy-xhb4vIoWJoIAZQgqbaNMStTP0Y_FcCColFcCc6EoWdJCcchQsMbwe5ffXXHse8yMXsAj6tvoPTPfb7Aqz27_UG6tyEuKNLbZjKnIfV5Rmzks3Q-fpT1H-FB6BqYyHt6dGqSY
W85,CUST-WIRE-14AWG-RED,Customer-Supplied,5,"14 AWG wire, red, stranded",,,,
